ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,ruwe,teff_gspphot,phot_variable_flag,distance_pc,abs_mag,phase,cluster
294.07526072252756,71.85484824785736,14.18562167426355,0.016410476,11.2537155,11.853321,10.332575,1.5207462,-7.076449,1.2081631,4165.4214,NOT_AVAILABLE,70.49391439884958,7.012957365899421,Main Sequence,2
289.33422520274866,73.67715601661452,10.237185925131868,0.023298718,14.80786,16.148314,13.669763,2.478551,2.743363,1.2189322,3546.492,NOT_AVAILABLE,97.6830944864488,9.858762954514171,Main Sequence,4
272.38872146378066,72.97656655928361,11.16984140200168,0.020421095,14.925037,16.468071,13.7162695,2.7518015,0.8721784,1.043167,3431.3894,NOT_AVAILABLE,89.52678592381768,10.165272033561706,Other,4
275.20509432400723,74.89480562580567,13.971895502157958,0.011322522,11.30102,12.00755,10.4899025,1.5176477,-11.324995,0.8608859,4549.6206,NOT_AVAILABLE,71.57225015357079,7.027296644130264,Main Sequence,2
293.10794111931204,71.71886486005965,10.839712998091866,0.008850716,10.8990965,11.38939,10.251632,1.1377583,2.214443,0.78894114,4910.038,VARIABLE,92.25336502691832,6.074185417932936,Main Sequence,2
287.2899905503319,73.72558587804143,12.78508293512497,0.018129759,14.49976,15.941584,13.324173,2.6174107,11.832006,1.2664992,3429.8997,NOT_AVAILABLE,78.21615276758666,10.03327774790888,Other,4
287.8285201624838,73.98503285095869,27.999952915458728,0.01183468,13.329799,14.907321,12.112661,2.7946596,-73.11773,1.3440024,3228.929,NOT_AVAILABLE,35.714345771199554,10.565585505180088,Other,4
312.99860811679474,68.32177084638016,12.177845488187767,0.01036906,9.093564,9.403898,8.613962,0.78993607,-21.307789,0.8259709,5775.6577,NOT_AVAILABLE,82.11633174110948,4.521416297248644,Main Sequence,1
278.57253792803215,75.14015705283538,14.105850349123743,0.01023233,12.2281065,13.120544,11.297421,1.823123,-12.321727,1.134486,4081.7869,NOT_AVAILABLE,70.89257118498496,7.975102860220312,Main Sequence,0
315.0592785622862,68.41189872519705,10.710523427521856,0.01876617,14.736405,16.12971,13.575418,2.5542908,-7.176507,1.1295745,3491.886,NOT_AVAILABLE,93.36611854378576,9.885458477469117,Other,4
314.98159410339053,68.45349689725178,13.016565152773728,0.014812705,13.996929,15.252569,12.886716,2.3658533,-44.533604,1.2481949,3605.0178,NOT_AVAILABLE,76.82518300819997,9.569410982604474,Main Sequence,4
277.76395198108935,73.08426950580224,16.606137309003984,0.02474311,8.049221,8.315803,7.615788,0.7000146,-10.540337,0.96902,6026.0884,NOT_AVAILABLE,60.218699953648574,4.150564122981386,Main Sequence,1
264.766370993744,-60.940793386126145,10.934742313887591,0.023477232,7.075363,7.2086263,6.821703,0.3869233,-28.569185,0.87891394,7288.101,NOT_AVAILABLE,91.45162924689656,2.2694057649545547,Main Sequence,3
315.9640416642559,68.85937270189537,10.500598097353825,0.0162823,14.58935,15.670158,13.492223,2.1779356,-49.6632,1.1490186,3641.5554,NOT_AVAILABLE,95.23267062778092,9.695420182484348,Main Sequence,4
271.6480049284377,75.08160311696332,13.282287933470348,0.015364716,14.111996,15.370718,13.002304,2.368414,-35.672382,1.1669614,3588.4536,NOT_AVAILABLE,75.28823385013938,9.728360453208571,Main Sequence,4
271.3692347015223,75.27704464474886,10.93018446172107,0.009911746,9.45577,9.750574,8.989249,0.7613249,-48.053226,0.90676904,5833.4556,NOT_AVAILABLE,91.48976428550957,4.648907456606516,Main Sequence,1
275.49302888327736,73.35152860788862,10.019952329875768,0.0112202605,13.788924,14.8464985,12.766829,2.07967,-14.122182,1.0497676,3822.4424,NOT_AVAILABLE,99.80087400399825,8.793252276857157,Main Sequence,0
288.1831676255549,74.65449560459263,12.010950546704237,0.010179401,12.339598,13.211692,11.417405,1.7942867,-4.461029,1.2267978,4282.1924,NOT_AVAILABLE,83.25735720179087,7.737484894155594,Main Sequence,0
287.90014544283275,74.88227514220492,11.740583547360352,0.011424237,10.020279,10.431803,9.444192,0.9876108,-35.079033,0.9259871,5426.916,NOT_AVAILABLE,85.17464195592144,5.368727416883456,Main Sequence,1
315.43703985306894,69.0941046615646,10.660311807864778,0.018464766,14.881103,16.317144,13.71213,2.6050148,-49.876953,1.0667377,3475.2234,NOT_AVAILABLE,93.80588654660528,10.019952538675394,Other,4
271.507617800123,76.13185939065058,15.86297322077954,0.014650102,7.4521523,7.7345862,7.001319,0.7332673,-11.606097,1.01029,5928.495,NOT_AVAILABLE,63.03988452114766,3.4540752553744127,Main Sequence,3
274.5120669894551,74.46652606412563,11.922053129985509,0.010573864,11.944073,12.670439,11.118127,1.5523119,-16.371128,1.1076237,4402.2227,NOT_AVAILABLE,83.87817006828047,7.325828264538304,Main Sequence,2
270.5567869749508,76.69673266187866,12.845998315912544,0.011216059,13.586369,14.754304,12.515129,2.2391748,-43.59747,1.0660118,3713.6,NOT_AVAILABLE,77.84525386098517,9.130208303714271,Main Sequence,0
272.09506442908105,73.55592085960608,11.810198985971656,0.011666004,11.895924,12.605719,11.081066,1.5246525,-14.393452,1.1193823,4419.98,NOT_AVAILABLE,84.67257843731643,7.257210074765901,Main Sequence,2
318.9133236424867,68.35639362580382,12.765216197090442,0.010637409,9.317766,9.648515,8.820505,0.8280096,-1.01422,1.0796127,5731.394,NOT_AVAILABLE,78.33788198808013,4.847906872986215,Main Sequence,1
271.82352845417535,74.04968451862838,12.607846085531222,0.01155019,12.54021,13.438824,11.606016,1.8328075,-31.124102,1.1318368,4141.814,NOT_AVAILABLE,79.3156890729814,8.043414491918515,Main Sequence,0
280.4343668003335,70.39396479622175,11.809413818140936,0.009679827,9.261592,9.5785675,8.777396,0.8011713,-11.885922,0.92977196,5733.191,NOT_AVAILABLE,84.67820802958552,4.622733705736989,Main Sequence,1
278.20048028710653,76.30502124701792,12.518348498820243,0.017370144,14.505826,15.973345,13.320773,2.6525717,-22.07188,1.0144112,3485.7188,NOT_AVAILABLE,79.88274172861078,9.993561188637845,Other,4
283.64787257141126,70.74082521767188,12.240675190175958,0.008816038,12.216131,13.026166,11.335561,1.6906052,0.48389813,1.1382735,4265.9883,NOT_AVAILABLE,81.69483990577362,7.655157869799449,Main Sequence,2
283.4357572412473,70.95049417561842,12.930032833735703,0.014851176,14.264175,15.605919,13.121267,2.4846516,-58.18236,1.1720792,3512.9421,NOT_AVAILABLE,77.33932410371794,9.822173138513389,Main Sequence,4
274.29716115968165,76.35004121100147,23.13021897680279,0.015244083,13.639445,15.007054,12.484707,2.5223475,-50.597054,1.2912407,3358.84,NOT_AVAILABLE,43.23348607304134,10.460343721563204,Other,4
281.7211148373774,70.61650324028359,10.471521240166126,0.0153403785,14.527849,15.822777,13.405084,2.4176931,-54.045288,1.0681145,3578.9983,NOT_AVAILABLE,95.49710849692508,9.627897889873989,Main Sequence,4
283.9998041352328,72.83443275646309,13.705535358639164,0.00982207,11.676325,12.482291,10.798961,1.6833305,-58.520523,1.0224141,4385.728,NOT_AVAILABLE,72.96322061360841,7.3608050219831345,Main Sequence,2
281.8847615756441,70.693464854158,11.479574282601366,0.010811866,13.387744,14.445159,12.364534,2.0806246,-34.285324,1.1159521,5167.366,NOT_AVAILABLE,87.11124431814659,8.687372913243015,Main Sequence,0
296.6646488504771,72.3276885789711,11.440854819384557,0.010847534,11.307236,11.892964,10.561557,1.3314075,-10.748741,0.9433161,4583.1772,NOT_AVAILABLE,87.40605625950889,6.599528372928562,Main Sequence,2
297.75261064004667,72.75292021419004,12.38658526283134,0.01012012,10.949737,11.4874325,10.261448,1.2259846,-8.069638,0.81253004,4722.238,NOT_AVAILABLE,80.73250042533665,6.4144949822807025,Main Sequence,2
283.0442124856427,73.12691260373448,12.814174984453038,0.010157097,9.070312,9.377789,8.592833,0.784956,-2.9644585,0.9065324,5778.6646,NOT_AVAILABLE,78.03857846589912,4.608765251105607,Main Sequence,1
280.1800728384892,70.64744129932338,16.890452956754906,0.012309218,9.307575,9.718796,8.732396,0.98639965,-23.712778,0.99099344,5215.113,VARIABLE,59.20504337925855,5.44578148171575,Main Sequence,1
320.73629936434554,69.44703388788334,19.038246567262675,0.013509753,9.229023,9.609537,8.6727295,0.93680763,-46.956,1.1062264,5484.6675,NOT_AVAILABLE,52.525845616452706,5.627157735675919,Main Sequence,1
315.62909715033993,66.8320964129663,11.804438211057018,0.009423212,12.714405,13.65742,11.748776,1.9086437,-11.44975,1.072264,5050.486,NOT_AVAILABLE,84.71390015522441,8.074631616267482,Main Sequence,0
318.2947487941178,69.38334768422547,15.389168310876082,0.011427006,13.649022,14.974652,12.513421,2.4612312,-38.03016,1.1823512,3564.776,NOT_AVAILABLE,64.98076957760374,9.585097747709291,Main Sequence,4
